mode,effect_sd,lag_min,seed,M0_naive_uncorrected,M1_bonferroni_only,M2_bonferroni_support,M3_ASDE_full
injected,1.0,30.0,32,True,True,True,True
injected,1.0,30.0,33,True,True,True,True
injected,1.0,30.0,34,True,True,True,True
injected,1.0,30.0,35,True,True,True,True
injected,1.0,30.0,36,True,True,True,True
injected,1.0,30.0,37,True,True,True,True
injected,1.0,30.0,38,True,True,True,True
injected,1.0,30.0,39,True,True,True,True
injected,1.0,30.0,40,True,True,True,True
injected,1.0,30.0,41,True,True,True,True
injected,1.0,30.0,42,True,True,True,True
injected,1.0,30.0,43,True,True,True,True
injected,1.0,30.0,44,True,True,True,True
injected,1.0,30.0,45,True,True,True,True
injected,1.0,30.0,46,True,True,True,True
injected,1.0,30.0,47,True,True,True,True
injected,1.0,30.0,48,True,True,True,True
injected,1.0,30.0,49,True,True,True,True
injected,1.0,30.0,50,True,True,True,True
injected,1.0,30.0,51,True,True,True,True
injected,1.0,30.0,52,True,True,True,True
injected,1.0,30.0,53,True,True,True,True
injected,1.0,30.0,54,True,True,True,True
injected,1.0,30.0,55,True,True,True,True
injected,1.0,30.0,56,True,True,True,True
injected,1.0,30.0,57,True,True,True,True
injected,1.0,30.0,58,True,True,True,True
injected,1.0,30.0,59,True,True,True,True
injected,1.0,30.0,60,True,True,True,True
injected,1.0,30.0,61,True,True,True,True
injected,1.0,30.0,62,True,True,True,True
injected,1.0,30.0,63,True,True,True,True
injected,1.0,30.0,64,True,True,True,True
injected,1.0,30.0,65,True,True,True,True
injected,1.0,30.0,66,True,True,True,True
injected,1.0,30.0,67,True,True,True,True
injected,1.0,30.0,68,True,True,True,True
injected,1.0,30.0,69,True,True,True,True
injected,1.0,30.0,70,True,True,True,True
injected,1.0,30.0,71,True,True,True,True
injected,1.0,30.0,72,True,True,True,True
injected,1.0,30.0,73,True,True,True,True
injected,1.0,30.0,74,True,True,True,True
injected,1.0,30.0,75,True,True,True,True
injected,1.0,30.0,76,True,True,True,True
injected,1.0,30.0,77,True,True,True,True
injected,1.0,30.0,78,True,True,True,True
injected,1.0,30.0,79,True,True,True,True
injected,1.0,30.0,80,True,True,True,True
injected,1.0,30.0,81,True,True,True,True
injected,1.0,30.0,82,True,True,True,True
injected,1.0,30.0,83,True,True,True,True
injected,1.0,30.0,84,True,True,True,True
injected,1.0,30.0,85,True,True,True,True
injected,1.0,30.0,86,True,True,True,True
injected,1.0,30.0,87,True,True,True,True
injected,1.0,30.0,88,True,True,True,True
injected,1.0,30.0,89,True,True,True,True
injected,1.0,30.0,90,True,True,True,True
injected,1.0,30.0,91,True,True,True,True
injected,1.0,30.0,92,True,True,True,True
injected,1.0,30.0,93,True,True,True,True
injected,1.0,30.0,94,True,True,True,True
injected,1.0,30.0,95,True,True,True,True
injected,1.0,30.0,96,True,True,True,True
injected,1.0,30.0,97,True,True,True,True
injected,1.0,30.0,98,True,True,True,True
injected,1.0,30.0,99,True,True,True,True
injected,1.0,60.0,0,True,True,True,True
injected,1.0,60.0,1,True,True,True,True
injected,1.0,60.0,2,True,True,True,True
injected,1.0,60.0,3,True,True,True,True
injected,1.0,60.0,4,True,True,True,True
injected,1.0,60.0,5,True,True,True,True
injected,1.0,60.0,6,True,True,True,True
injected,1.0,60.0,7,True,True,True,True
injected,1.0,60.0,8,True,True,True,True
injected,1.0,60.0,9,True,True,True,True
injected,1.0,60.0,10,True,False,False,False
injected,1.0,60.0,11,True,True,True,True
injected,1.0,60.0,12,True,True,True,True
