atmospheric_state,lag_minutes,support_n_discovery,p_degraded_discovery,baseline_p_degraded_discovery,lift_discovery,support_n_characterization,p_degraded_characterization,baseline_p_degraded_characterization,lift_characterization,same_direction,min_lift,stable_candidate
0,15,1361,0.13886847905951505,0.09561567164179105,1.45236106879805,387,0.056847545219638244,0.036414565826330535,1.5611210494931425,True,1.45236106879805,True
0,0,1398,0.1380543633762518,0.09561567164179105,1.4438466101399212,406,0.06157635467980296,0.036414565826330535,1.6909814323607426,True,1.4438466101399212,True
0,30,1356,0.140117994100295,0.09561567164179105,1.4654291675660118,380,0.05,0.036414565826330535,1.373076923076923,True,1.373076923076923,True
0,60,1351,0.14211695040710584,0.09561567164179105,1.486335325233341,366,0.03551912568306011,0.036414565826330535,0.9754098360655736,False,0.9754098360655736,False
0,120,1339,0.14339058999253174,0.09561567164179105,1.499655731434088,346,0.002890173410404624,0.036414565826330535,0.07936860827034237,False,0.07936860827034237,False
1,0,397,0.015113350125944584,0.09561567164179105,0.15806352521963504,147,0.0,0.036414565826330535,0.0,False,0.0,False
1,15,375,0.010666666666666666,0.09561567164179105,0.11155772357723576,140,0.0,0.036414565826330535,0.0,False,0.0,False
1,30,375,0.005333333333333333,0.09561567164179105,0.05577886178861788,141,0.0,0.036414565826330535,0.0,False,0.0,False
1,60,367,0.0027247956403269754,0.09561567164179105,0.02849737489200505,141,0.0,0.036414565826330535,0.0,False,0.0,False
1,120,364,0.0,0.09561567164179105,0.0,140,0.03571428571428571,0.036414565826330535,0.9807692307692306,False,0.0,False
3,0,270,0.0,0.09561567164179105,0.0,127,0.007874015748031496,0.036414565826330535,0.21623258631132644,False,0.0,False
3,15,261,0.0,0.09561567164179105,0.0,123,0.024390243902439025,0.036414565826330535,0.6697936210131332,False,0.0,False
3,60,260,0.0,0.09561567164179105,0.0,123,0.07317073170731707,0.036414565826330535,2.0093808630393992,False,0.0,False
3,30,257,0.0,0.09561567164179105,0.0,123,0.04065040650406504,0.036414565826330535,1.1163227016885553,False,0.0,False
3,120,255,0.0,0.09561567164179105,0.0,125,0.128,0.036414565826330535,3.515076923076923,False,0.0,False
