effect_sd,lag_min,horizon_min,trials,recovery_rate,ci95_low,ci95_high
0.5,15.0,30,50,1.0,0.9286499658256813,1.0
0.5,15.0,60,50,0.94,0.8378265662912299,0.9793854036353695
0.5,15.0,120,50,0.84,0.7148551903823401,0.9166267863791231
0.5,30.0,30,50,0.04,0.011038652660826577,0.13460337877954667
0.5,30.0,60,50,0.3,0.1910338908960936,0.4375061227736339
0.5,30.0,120,50,0.2,0.11243629945973886,0.3303737210448524
0.5,60.0,30,50,0.0,0.0,0.07135003417431873
0.5,60.0,60,50,0.0,0.0,0.07135003417431873
0.5,60.0,120,50,0.08,0.031549003255790686,0.18838502545063704
1.0,15.0,30,50,1.0,0.9286499658256813,1.0
1.0,15.0,60,50,1.0,0.9286499658256813,1.0
1.0,15.0,120,50,1.0,0.9286499658256813,1.0
1.0,30.0,30,50,1.0,0.9286499658256813,1.0
1.0,30.0,60,50,1.0,0.9286499658256813,1.0
1.0,30.0,120,50,1.0,0.9286499658256813,1.0
1.0,60.0,30,50,0.0,0.0,0.07135003417431873
1.0,60.0,60,50,1.0,0.9286499658256813,1.0
1.0,60.0,120,50,1.0,0.9286499658256813,1.0
1.5,15.0,30,50,1.0,0.9286499658256813,1.0
1.5,15.0,60,50,1.0,0.9286499658256813,1.0
1.5,15.0,120,50,1.0,0.9286499658256813,1.0
1.5,30.0,30,50,1.0,0.9286499658256813,1.0
1.5,30.0,60,50,1.0,0.9286499658256813,1.0
1.5,30.0,120,50,1.0,0.9286499658256813,1.0
1.5,60.0,30,50,0.0,0.0,0.07135003417431873
1.5,60.0,60,50,1.0,0.9286499658256813,1.0
1.5,60.0,120,50,1.0,0.9286499658256813,1.0
2.0,15.0,30,50,1.0,0.9286499658256813,1.0
2.0,15.0,60,50,1.0,0.9286499658256813,1.0
2.0,15.0,120,50,1.0,0.9286499658256813,1.0
2.0,30.0,30,50,1.0,0.9286499658256813,1.0
2.0,30.0,60,50,1.0,0.9286499658256813,1.0
2.0,30.0,120,50,1.0,0.9286499658256813,1.0
2.0,60.0,30,50,0.0,0.0,0.07135003417431873
2.0,60.0,60,50,1.0,0.9286499658256813,1.0
2.0,60.0,120,50,1.0,0.9286499658256813,1.0
