mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,15.0,0,30,0.0029623061418533325,4.0,21.0,6.0,True
injected,0.5,15.0,0,60,0.011327922344207764,4.0,18.0,6.0,True
injected,0.5,15.0,0,120,0.021642625331878662,4.0,18.0,7.0,False
injected_any,0.5,15.0,0,0,,,,,True
injected,0.5,15.0,1,30,0.0018595829606056213,4.0,22.0,6.0,True
injected,0.5,15.0,1,60,0.00845026969909668,4.0,17.0,5.0,True
injected,0.5,15.0,1,120,0.00960540771484375,4.0,15.0,4.0,True
injected_any,0.5,15.0,1,0,,,,,True
injected,0.5,15.0,2,30,0.0018595829606056213,4.0,22.0,6.0,True
injected,0.5,15.0,2,60,0.002171754837036133,4.0,18.0,4.0,True
injected,0.5,15.0,2,120,0.002171754837036133,4.0,18.0,4.0,True
injected_any,0.5,15.0,2,0,,,,,True
injected,0.5,15.0,3,30,0.0012469589710235596,4.0,21.0,5.0,True
injected,0.5,15.0,3,60,0.005311012268066406,4.0,18.0,5.0,True
injected,0.5,15.0,3,120,0.013301849365234375,4.0,16.0,5.0,True
injected_any,0.5,15.0,3,0,,,,,True
injected,0.5,15.0,4,30,0.000771939754486084,3.0,20.0,4.0,True
injected,0.5,15.0,4,60,0.005311012268066406,3.0,18.0,5.0,True
injected,0.5,15.0,4,120,0.007316648960113525,4.0,19.0,6.0,True
injected_any,0.5,15.0,4,0,,,,,True
injected,0.5,15.0,5,30,0.0029623061418533325,4.0,21.0,6.0,True
injected,0.5,15.0,5,60,0.00845026969909668,4.0,17.0,5.0,True
injected,0.5,15.0,5,120,0.01734483242034912,4.0,17.0,6.0,False
injected_any,0.5,15.0,5,0,,,,,True
injected,0.5,15.0,6,30,0.0016634464263916016,3.0,24.0,7.0,True
injected,0.5,15.0,6,60,0.003305375576019287,3.0,19.0,5.0,True
injected,0.5,15.0,6,120,0.002171754837036133,3.0,18.0,4.0,True
injected_any,0.5,15.0,6,0,,,,,True
injected,0.5,15.0,7,30,0.011327922344207764,4.0,18.0,6.0,True
injected,0.5,15.0,7,60,0.01544189453125,4.0,14.0,4.0,True
injected,0.5,15.0,7,120,0.020694732666015625,4.0,15.0,5.0,False
injected_any,0.5,15.0,7,0,,,,,True
injected,0.5,15.0,8,30,0.000771939754486084,4.0,20.0,4.0,True
injected,0.5,15.0,8,60,0.003305375576019287,4.0,19.0,5.0,True
injected,0.5,15.0,8,120,0.00845026969909668,4.0,17.0,5.0,True
injected_any,0.5,15.0,8,0,,,,,True
injected,0.5,15.0,9,30,0.0018595829606056213,3.0,22.0,6.0,True
injected,0.5,15.0,9,60,0.0035986900329589844,3.0,17.0,4.0,True
injected,0.5,15.0,9,120,0.005908966064453125,3.0,16.0,4.0,True
injected_any,0.5,15.0,9,0,,,,,True
injected,0.5,15.0,10,30,0.0020386576652526855,3.0,20.0,5.0,True
injected,0.5,15.0,10,60,0.0037689208984375,3.0,15.0,3.0,True
injected,0.5,15.0,10,120,0.00960540771484375,3.0,15.0,4.0,True
injected_any,0.5,15.0,10,0,,,,,True
injected,0.5,15.0,11,30,0.0001553744077682495,4.0,23.0,4.0,True
injected,0.5,15.0,11,60,0.001299738883972168,4.0,19.0,4.0,True
injected,0.5,15.0,11,120,0.0035986900329589844,4.0,17.0,4.0,True
injected_any,0.5,15.0,11,0,,,,,True
injected,0.5,15.0,12,30,0.0029623061418533325,3.0,21.0,6.0,True
injected,0.5,15.0,12,60,0.00845026969909668,3.0,17.0,5.0,True
injected,0.5,15.0,12,120,0.00845026969909668,3.0,17.0,5.0,True
injected_any,0.5,15.0,12,0,,,,,True
injected,0.5,15.0,13,30,0.0012469589710235596,3.0,21.0,5.0,True
injected,0.5,15.0,13,60,0.003305375576019287,3.0,19.0,5.0,True
injected,0.5,15.0,13,120,0.00845026969909668,3.0,17.0,5.0,True
injected_any,0.5,15.0,13,0,,,,,True
injected,0.5,15.0,14,30,0.001299738883972168,3.0,19.0,4.0,True
injected,0.5,15.0,14,60,0.005908966064453125,3.0,16.0,4.0,True
injected,0.5,15.0,14,120,0.00845026969909668,4.0,17.0,5.0,True
injected_any,0.5,15.0,14,0,,,,,True
injected,0.5,15.0,15,30,0.0046776533126831055,4.0,20.0,6.0,True
injected,0.5,15.0,15,60,0.020694732666015625,4.0,15.0,5.0,False
injected,0.5,15.0,15,120,0.00960540771484375,4.0,15.0,4.0,True
injected_any,0.5,15.0,15,0,,,,,True
injected,0.5,15.0,16,30,0.0020386576652526855,3.0,20.0,5.0,True
injected,0.5,15.0,16,60,0.0037689208984375,3.0,15.0,3.0,True
injected,0.5,15.0,16,120,0.0063629150390625,3.0,14.0,3.0,True
injected_any,0.5,15.0,16,0,,,,,True
injected,0.5,15.0,17,30,0.0001553744077682495,4.0,23.0,4.0,True
injected,0.5,15.0,17,60,0.001299738883972168,4.0,19.0,4.0,True
injected,0.5,15.0,17,120,0.003305375576019287,4.0,19.0,5.0,True
injected_any,0.5,15.0,17,0,,,,,True
injected,0.5,15.0,18,30,0.0029623061418533325,4.0,21.0,6.0,True
injected,0.5,15.0,18,60,0.005311012268066406,4.0,18.0,5.0,True
injected,0.5,15.0,18,120,0.005311012268066406,4.0,18.0,5.0,True
injected_any,0.5,15.0,18,0,,,,,True
injected,0.5,15.0,19,30,0.0007568597793579102,3.0,22.0,5.0,True
injected,0.5,15.0,19,60,0.0007448196411132812,3.0,18.0,3.0,True
injected,0.5,15.0,19,120,0.0007448196411132812,4.0,18.0,3.0,True
injected_any,0.5,15.0,19,0,,,,,True
injected,0.5,15.0,20,30,0.0029623061418533325,3.0,21.0,6.0,True
injected,0.5,15.0,20,60,0.005311012268066406,3.0,18.0,5.0,True
injected,0.5,15.0,20,120,0.01734483242034912,3.0,17.0,6.0,False
injected_any,0.5,15.0,20,0,,,,,True
injected,0.5,15.0,21,30,0.0004552602767944336,3.0,21.0,4.0,True
