effect_sd,lag_min,trials,familywise_recovery_rate,ci95_low,ci95_high
0.5,15.0,50,1.0,0.9286499658256813,1.0
0.5,30.0,50,0.1,0.04347512399157111,0.2136049033478839
0.5,60.0,50,0.0,0.0,0.07135003417431873
1.0,15.0,50,1.0,0.9286499658256813,1.0
1.0,30.0,50,1.0,0.9286499658256813,1.0
1.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
1.5,15.0,50,1.0,0.9286499658256813,1.0
1.5,30.0,50,1.0,0.9286499658256813,1.0
1.5,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
2.0,15.0,50,1.0,0.9286499658256813,1.0
2.0,30.0,50,1.0,0.9286499658256813,1.0
2.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
