mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,15.0,0,30,0.0004552602767944336,3.0,21.0,4.0,True
injected,0.5,15.0,0,60,0.0012884140014648438,3.0,17.0,3.0,True
injected,0.5,15.0,0,120,0.0022125244140625,4.0,16.0,3.0,True
injected_any,0.5,15.0,0,0,,,,,True
injected,0.5,15.0,1,30,0.014479637145996094,3.0,19.0,7.0,True
injected,0.5,15.0,1,60,0.01734483242034912,3.0,17.0,6.0,False
injected,0.5,15.0,1,120,0.013301849365234375,3.0,16.0,5.0,True
injected_any,0.5,15.0,1,0,,,,,True
injected,0.5,15.0,2,30,0.0029623061418533325,4.0,21.0,6.0,True
injected,0.5,15.0,2,60,0.007316648960113525,4.0,19.0,6.0,True
injected,0.5,15.0,2,120,0.011327922344207764,4.0,18.0,6.0,True
injected_any,0.5,15.0,2,0,,,,,True
injected,0.5,15.0,3,30,0.0020386576652526855,3.0,20.0,5.0,True
injected,0.5,15.0,3,60,0.013301849365234375,3.0,16.0,5.0,True
injected,0.5,15.0,3,120,0.01734483242034912,4.0,17.0,6.0,False
injected_any,0.5,15.0,3,0,,,,,True
injected,0.5,15.0,4,30,0.011327922344207764,3.0,18.0,6.0,True
injected,0.5,15.0,4,60,0.03917694091796875,3.0,15.0,6.0,False
injected,0.5,15.0,4,120,0.03917694091796875,3.0,15.0,6.0,False
injected_any,0.5,15.0,4,0,,,,,True
injected,0.5,15.0,5,30,0.000771939754486084,3.0,20.0,4.0,True
injected,0.5,15.0,5,60,0.0035986900329589844,3.0,17.0,4.0,True
injected,0.5,15.0,5,120,0.005908966064453125,3.0,16.0,4.0,True
injected_any,0.5,15.0,5,0,,,,,True
injected,0.5,15.0,6,30,0.000771939754486084,3.0,20.0,4.0,True
injected,0.5,15.0,6,60,0.0022125244140625,3.0,16.0,3.0,True
injected,0.5,15.0,6,120,0.0022125244140625,4.0,16.0,3.0,True
injected_any,0.5,15.0,6,0,,,,,True
injected,0.5,15.0,7,30,0.0046776533126831055,4.0,20.0,6.0,True
injected,0.5,15.0,7,60,0.00960540771484375,4.0,15.0,4.0,True
injected,0.5,15.0,7,120,0.00960540771484375,4.0,15.0,4.0,True
injected_any,0.5,15.0,7,0,,,,,True
injected,0.5,15.0,8,30,0.003305375576019287,3.0,19.0,5.0,True
injected,0.5,15.0,8,60,0.01544189453125,3.0,14.0,4.0,True
injected,0.5,15.0,8,120,0.013301849365234375,4.0,16.0,5.0,True
injected_any,0.5,15.0,8,0,,,,,True
injected,0.5,15.0,9,30,0.0095786452293396,3.0,20.0,7.0,True
injected,0.5,15.0,9,60,0.020694732666015625,3.0,15.0,5.0,False
