effect_sd,lag_min,horizon_min,trials,recovery_rate,ci95_low,ci95_high
0.5,15.0,30,50,1.0,0.9286499658256813,1.0
0.5,15.0,60,50,0.08,0.031549003255790686,0.18838502545063704
0.5,15.0,120,50,0.06,0.020614596364630478,0.16217343370877002
0.5,30.0,30,50,0.1,0.04347512399157111,0.2136049033478839
0.5,30.0,60,50,0.0,0.0,0.07135003417431873
0.5,30.0,120,50,0.0,0.0,0.07135003417431873
0.5,60.0,30,50,0.0,0.0,0.07135003417431873
0.5,60.0,60,50,0.0,0.0,0.07135003417431873
0.5,60.0,120,50,0.0,0.0,0.07135003417431873
1.0,15.0,30,50,1.0,0.9286499658256813,1.0
1.0,15.0,60,50,0.92,0.8116149745493629,0.9684509967442093
1.0,15.0,120,50,0.5,0.36644286412332855,0.6335571358766714
1.0,30.0,30,50,1.0,0.9286499658256813,1.0
1.0,30.0,60,50,0.18,0.0977008273245379,0.3079631945470261
1.0,30.0,120,50,0.26,0.15871379651367384,0.3955342198899992
1.0,60.0,30,50,0.0,0.0,0.07135003417431873
1.0,60.0,60,50,0.0,0.0,0.07135003417431873
1.0,60.0,120,50,0.02,0.0035391680889764604,0.10495686471836953
1.5,15.0,30,50,1.0,0.9286499658256813,1.0
1.5,15.0,60,50,0.94,0.8378265662912299,0.9793854036353695
1.5,15.0,120,50,0.56,0.4230578680014353,0.6883801278976466
1.5,30.0,30,50,1.0,0.9286499658256813,1.0
1.5,30.0,60,50,0.38,0.2586259584257722,0.5184980497760643
1.5,30.0,120,50,0.26,0.15871379651367384,0.3955342198899992
1.5,60.0,30,50,0.0,0.0,0.07135003417431873
1.5,60.0,60,50,0.0,0.0,0.07135003417431873
1.5,60.0,120,50,0.02,0.0035391680889764604,0.10495686471836953
2.0,15.0,30,50,1.0,0.9286499658256813,1.0
2.0,15.0,60,50,0.94,0.8378265662912299,0.9793854036353695
2.0,15.0,120,50,0.56,0.4230578680014353,0.6883801278976466
2.0,30.0,30,50,1.0,0.9286499658256813,1.0
2.0,30.0,60,50,0.38,0.2586259584257722,0.5184980497760643
2.0,30.0,120,50,0.26,0.15871379651367384,0.3955342198899992
2.0,60.0,30,50,0.0,0.0,0.07135003417431873
2.0,60.0,60,50,0.0,0.0,0.07135003417431873
2.0,60.0,120,50,0.02,0.0035391680889764604,0.10495686471836953
