mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,15.0,22,120,0.03071417286992073,4.0,20.0,9.0,False
injected_any,0.5,15.0,22,0,,,,,True
injected,0.5,15.0,23,30,3.28733162291428e-05,4.0,36.0,9.0,True
injected,0.5,15.0,23,60,0.012046453849224648,4.0,34.0,17.0,True
injected,0.5,15.0,23,120,0.035377772990614176,3.0,21.0,10.0,False
injected_any,0.5,15.0,23,0,,,,,True
injected,0.5,15.0,24,30,2.0967078967260022e-05,4.0,35.0,8.0,True
injected,0.5,15.0,24,60,0.021779260961920954,4.0,28.0,14.0,False
injected,0.5,15.0,24,120,0.021642625331878662,4.0,18.0,7.0,False
injected_any,0.5,15.0,24,0,,,,,True
injected,0.5,15.0,25,30,7.687045098236922e-06,4.0,37.0,8.0,True
injected,0.5,15.0,25,60,0.008047180015637421,3.0,31.0,14.0,True
injected,0.5,15.0,25,120,0.026239395141601562,3.0,16.0,6.0,False
injected_any,0.5,15.0,25,0,,,,,True
injected,0.5,15.0,26,30,7.820860426477338e-05,4.0,36.0,10.0,True
injected,0.5,15.0,26,60,0.012948040896617385,4.0,31.0,15.0,True
injected,0.5,15.0,26,120,0.14052075752988458,2.0,19.0,12.0,False
injected_any,0.5,15.0,26,0,,,,,True
injected,0.5,15.0,27,30,2.7698107984974736e-06,4.0,39.0,8.0,True
injected,0.5,15.0,27,60,0.009311918307503216,4.0,32.0,15.0,True
injected,0.5,15.0,27,120,0.017849069088697433,4.0,20.0,8.0,False
injected_any,0.5,15.0,27,0,,,,,True
injected,0.5,15.0,28,30,1.5606548231517081e-06,4.0,38.0,7.0,True
injected,0.5,15.0,28,60,0.006641640781122505,4.0,33.0,15.0,True
injected,0.5,15.0,28,120,0.0046776533126831055,4.0,20.0,6.0,True
injected_any,0.5,15.0,28,0,,,,,True
injected,0.5,15.0,29,30,0.00041204117979987126,4.0,34.0,11.0,True
injected,0.5,15.0,29,60,0.011314420602957398,4.0,30.0,14.0,True
injected,0.5,15.0,29,120,0.11474050651304424,2.0,21.0,13.0,False
injected_any,0.5,15.0,29,0,,,,,True
injected,0.5,15.0,30,30,3.438555745560735e-05,4.0,34.0,8.0,True
injected,0.5,15.0,30,60,0.00685909252933925,4.0,30.0,13.0,True
injected,0.5,15.0,30,120,0.021386972628533847,3.0,21.0,9.0,False
injected_any,0.5,15.0,30,0,,,,,True
injected,0.5,15.0,31,30,2.0280180663689862e-05,4.0,37.0,9.0,True
injected,0.5,15.0,31,60,0.005675795718389054,4.0,32.0,14.0,True
injected,0.5,15.0,31,120,0.0035986900329589844,4.0,17.0,4.0,True
injected_any,0.5,15.0,31,0,,,,,True
injected,0.5,15.0,32,30,2.649790872055746e-06,4.0,37.0,7.0,True
injected,0.5,15.0,32,60,0.003213288047845708,4.0,29.0,11.0,True
injected,0.5,15.0,32,120,0.055092082591727376,3.0,21.0,11.0,False
injected_any,0.5,15.0,32,0,,,,,True
injected,0.5,15.0,33,30,0.00012354389230040397,4.0,35.0,10.0,True
injected,0.5,15.0,33,60,0.03299701722789905,4.0,28.0,15.0,False
injected,0.5,15.0,33,120,0.12389428168535233,3.0,17.0,10.0,False
injected_any,0.5,15.0,33,0,,,,,True
injected,0.5,15.0,34,30,1.2452015312192087e-05,4.0,38.0,9.0,True
injected,0.5,15.0,34,60,0.003971363254741787,4.0,33.0,14.0,True
injected,0.5,15.0,34,120,0.011327922344207764,3.0,18.0,6.0,True
injected_any,0.5,15.0,34,0,,,,,True
injected,0.5,15.0,35,30,4.481519681576174e-06,4.0,36.0,7.0,True
injected,0.5,15.0,35,60,0.004779939428317448,4.0,31.0,13.0,True
injected,0.5,15.0,35,120,0.0095786452293396,4.0,20.0,7.0,True
injected_any,0.5,15.0,35,0,,,,,True
injected,0.5,15.0,36,30,0.01923865414210013,4.0,27.0,13.0,False
injected,0.5,15.0,36,60,0.05406451070302866,4.0,25.0,14.0,False
injected,0.5,15.0,36,120,0.03775934875011444,3.0,18.0,8.0,False
injected_any,0.5,15.0,36,0,,,,,False
injected,0.5,15.0,37,30,0.00033977412749663927,4.0,31.0,9.0,True
injected,0.5,15.0,37,60,0.016776219839812256,4.0,26.0,12.0,False
injected,0.5,15.0,37,120,0.07579481601715088,3.0,16.0,8.0,False
injected_any,0.5,15.0,37,0,,,,,True
injected,0.5,15.0,38,30,0.0009569805006321985,4.0,32.0,11.0,True
injected,0.5,15.0,38,60,0.03299701722789905,4.0,28.0,15.0,False
injected,0.5,15.0,38,120,0.035377772990614176,4.0,21.0,10.0,False
injected_any,0.5,15.0,38,0,,,,,True
injected,0.5,15.0,39,30,7.687045098236922e-06,4.0,37.0,8.0,True
injected,0.5,15.0,39,60,0.001828883413963922,4.0,32.0,12.0,True
injected,0.5,15.0,39,120,0.021386972628533847,4.0,21.0,9.0,False
injected_any,0.5,15.0,39,0,,,,,True
injected,0.5,15.0,40,30,3.28733162291428e-05,4.0,36.0,9.0,True
injected,0.5,15.0,40,60,0.015769748676575546,4.0,29.0,14.0,True
injected,0.5,15.0,40,120,0.035377772990614176,4.0,21.0,10.0,False
injected_any,0.5,15.0,40,0,,,,,True
injected,0.5,15.0,41,30,0.00013576961714534266,4.0,33.0,9.0,True
injected,0.5,15.0,41,60,0.009760236391230137,4.0,29.0,13.0,True
injected,0.5,15.0,41,120,0.10024421103298667,3.0,19.0,11.0,False
injected_any,0.5,15.0,41,0,,,,,True
injected,0.5,15.0,42,30,0.0004703370141214691,4.0,32.0,10.0,True
injected,0.5,15.0,42,60,0.024383382952237298,4.0,29.0,15.0,False
injected,0.5,15.0,42,120,0.04007165622897446,4.0,22.0,11.0,False
injected_any,0.5,15.0,42,0,,,,,True
injected,0.5,15.0,43,30,0.0001111224813108436,4.0,37.0,11.0,True
injected,0.5,15.0,43,60,0.03622713008127221,4.0,29.0,16.0,False
injected,0.5,15.0,43,120,0.0095786452293396,4.0,20.0,7.0,True
injected_any,0.5,15.0,43,0,,,,,True
injected,0.5,15.0,44,30,0.003300223983405459,4.0,35.0,15.0,True
injected,0.5,15.0,44,60,0.051902677752053705,4.0,29.0,17.0,False
injected,0.5,15.0,44,120,0.17246422544121742,3.0,17.0,11.0,False
injected_any,0.5,15.0,44,0,,,,,True
injected,0.5,15.0,45,30,5.3022333133867505e-05,4.0,35.0,9.0,True
injected,0.5,15.0,45,60,0.024383382952237298,4.0,29.0,15.0,False
injected,0.5,15.0,45,120,0.025051229866221547,3.0,22.0,10.0,False
injected_any,0.5,15.0,45,0,,,,,True
injected,0.5,15.0,46,30,0.0001111224813108436,4.0,37.0,11.0,True
injected,0.5,15.0,46,60,0.010647057070693577,4.0,33.0,16.0,True
injected,0.5,15.0,46,120,0.021386972628533847,3.0,21.0,9.0,False
injected_any,0.5,15.0,46,0,,,,,True
injected,0.5,15.0,47,30,2.0280180663689862e-05,4.0,37.0,9.0,True
injected,0.5,15.0,47,60,0.012948040896617385,4.0,31.0,15.0,True
injected,0.5,15.0,47,120,0.055092082591727376,3.0,21.0,11.0,False
injected_any,0.5,15.0,47,0,,,,,True
injected,0.5,15.0,48,30,2.0280180663689862e-05,4.0,37.0,9.0,True
injected,0.5,15.0,48,60,0.007673338916315053,4.0,34.0,16.0,True
injected,0.5,15.0,48,120,0.003305375576019287,4.0,19.0,5.0,True
injected_any,0.5,15.0,48,0,,,,,True
injected,0.5,15.0,49,30,7.00652872809293e-06,4.0,43.0,11.0,True
injected,0.5,15.0,49,60,0.003300223983405459,4.0,35.0,15.0,True
injected,0.5,15.0,49,120,0.017849069088697433,4.0,20.0,8.0,False
injected_any,0.5,15.0,49,0,,,,,True
injected,0.5,30.0,0,30,0.4339697002142202,2.0,19.0,17.0,False
injected,0.5,30.0,0,60,0.2800323147901053,3.0,26.0,21.0,False
injected,0.5,30.0,0,120,0.11474050651304424,3.0,21.0,13.0,False
injected_any,0.5,30.0,0,0,,,,,False
injected,0.5,30.0,1,30,0.2497799166012556,3.0,20.0,15.0,False
injected,0.5,30.0,1,60,0.3327329060383094,3.0,26.0,22.0,False
injected,0.5,30.0,1,120,0.10766357486136258,3.0,20.0,12.0,False
injected_any,0.5,30.0,1,0,,,,,False
injected,0.5,30.0,2,30,0.12149247701745483,4.0,22.0,14.0,False
injected,0.5,30.0,2,60,0.3293690385118282,2.0,25.0,21.0,False
injected,0.5,30.0,2,120,0.055092082591727376,4.0,21.0,11.0,False
injected_any,0.5,30.0,2,0,,,,,False
injected,0.5,30.0,3,30,0.4320831202203408,2.0,18.0,16.0,False
injected,0.5,30.0,3,60,0.3179140013144206,3.0,22.0,18.0,False
injected,0.5,30.0,3,120,0.10024421103298667,4.0,19.0,11.0,False
injected_any,0.5,30.0,3,0,,,,,False
injected,0.5,30.0,4,30,0.1620043000439182,3.0,22.0,15.0,False
injected,0.5,30.0,4,60,0.4339697002142202,3.0,19.0,17.0,False
injected,0.5,30.0,4,120,0.15525232953950768,3.0,21.0,14.0,False
injected_any,0.5,30.0,4,0,,,,,False
injected,0.5,30.0,5,30,0.31355128507857444,2.0,21.0,17.0,False
injected,0.5,30.0,5,60,0.44149795606119824,2.0,24.0,22.0,False
injected,0.5,30.0,5,120,0.11474050651304424,3.0,21.0,13.0,False
injected_any,0.5,30.0,5,0,,,,,False
injected,0.5,30.0,6,30,0.3746293123804209,3.0,21.0,18.0,False
