mode,effect_sd,lag_min,seed,M0_naive_uncorrected,M1_bonferroni_only,M2_bonferroni_support,M3_ASDE_full
injected,2.0,30.0,29,True,True,True,True
injected,2.0,30.0,30,True,True,True,True
injected,2.0,30.0,31,True,True,True,True
injected,2.0,30.0,32,True,True,True,True
injected,2.0,30.0,33,True,True,True,True
injected,2.0,30.0,34,True,True,True,True
injected,2.0,30.0,35,True,True,True,True
injected,2.0,30.0,36,True,True,True,True
injected,2.0,30.0,37,True,True,True,True
injected,2.0,30.0,38,True,True,True,True
injected,2.0,30.0,39,True,True,True,True
injected,2.0,30.0,40,True,True,True,True
injected,2.0,30.0,41,True,True,True,True
injected,2.0,30.0,42,True,True,True,True
injected,2.0,30.0,43,True,True,True,True
injected,2.0,30.0,44,True,True,True,True
injected,2.0,30.0,45,True,True,True,True
injected,2.0,30.0,46,True,True,True,True
injected,2.0,30.0,47,True,True,True,True
injected,2.0,30.0,48,True,True,True,True
injected,2.0,30.0,49,True,True,True,True
injected,2.0,60.0,0,True,True,True,True
injected,2.0,60.0,1,True,True,True,True
injected,2.0,60.0,2,True,True,True,True
injected,2.0,60.0,3,True,True,True,True
injected,2.0,60.0,4,True,True,True,True
injected,2.0,60.0,5,True,True,True,True
injected,2.0,60.0,6,True,True,True,True
injected,2.0,60.0,7,True,True,True,True
injected,2.0,60.0,8,True,True,True,True
injected,2.0,60.0,9,True,True,True,True
injected,2.0,60.0,10,True,False,False,False
injected,2.0,60.0,11,True,True,True,True
injected,2.0,60.0,12,True,True,True,True
injected,2.0,60.0,13,True,True,True,True
injected,2.0,60.0,14,True,True,True,True
injected,2.0,60.0,15,True,True,True,True
injected,2.0,60.0,16,True,True,True,True
injected,2.0,60.0,17,True,True,True,True
injected,2.0,60.0,18,True,True,True,True
injected,2.0,60.0,19,True,True,True,True
injected,2.0,60.0,20,True,True,True,True
injected,2.0,60.0,21,True,True,True,True
injected,2.0,60.0,22,True,True,True,True
injected,2.0,60.0,23,True,True,True,True
injected,2.0,60.0,24,True,True,True,True
injected,2.0,60.0,25,True,True,True,True
injected,2.0,60.0,26,True,True,True,True
injected,2.0,60.0,27,True,True,True,True
injected,2.0,60.0,28,True,True,True,True
injected,2.0,60.0,29,True,True,True,True
injected,2.0,60.0,30,True,True,True,True
injected,2.0,60.0,31,True,True,True,True
injected,2.0,60.0,32,True,True,True,True
injected,2.0,60.0,33,True,True,True,True
injected,2.0,60.0,34,True,True,True,True
injected,2.0,60.0,35,True,True,True,True
injected,2.0,60.0,36,True,True,True,True
injected,2.0,60.0,37,True,True,True,True
injected,2.0,60.0,38,True,True,True,True
injected,2.0,60.0,39,True,True,True,True
injected,2.0,60.0,40,True,True,True,True
injected,2.0,60.0,41,True,True,True,True
injected,2.0,60.0,42,True,True,True,True
injected,2.0,60.0,43,True,True,True,True
injected,2.0,60.0,44,True,True,True,True
injected,2.0,60.0,45,True,True,True,True
injected,2.0,60.0,46,True,True,True,True
injected,2.0,60.0,47,True,True,True,True
injected,2.0,60.0,48,True,True,True,True
injected,2.0,60.0,49,True,True,True,True
null_shift,0.0,,0,False,False,False,False
null_shift,0.0,,1,False,False,False,False
null_shift,0.0,,2,False,False,False,False
null_shift,0.0,,3,False,False,False,False
null_shift,0.0,,4,False,False,False,False
null_shift,0.0,,5,False,False,False,False
null_shift,0.0,,6,False,False,False,False
null_shift,0.0,,7,True,True,True,True
null_shift,0.0,,8,True,False,False,False
null_shift,0.0,,9,False,False,False,False
null_shift,0.0,,10,False,False,False,False
null_shift,0.0,,11,False,False,False,False
null_shift,0.0,,12,False,False,False,False
null_shift,0.0,,13,False,False,False,False
null_shift,0.0,,14,False,False,False,False
null_shift,0.0,,15,False,False,False,False
null_shift,0.0,,16,False,False,False,False
null_shift,0.0,,17,False,False,False,False
null_shift,0.0,,18,False,False,False,False
null_shift,0.0,,19,False,False,False,False
null_shift,0.0,,20,True,False,False,False
null_shift,0.0,,21,False,False,False,False
null_shift,0.0,,22,False,False,False,False
null_shift,0.0,,23,False,False,False,False
null_shift,0.0,,24,False,False,False,False
null_shift,0.0,,25,False,False,False,False
null_shift,0.0,,26,False,False,False,False
null_shift,0.0,,27,False,False,False,False
null_shift,0.0,,28,False,False,False,False
null_shift,0.0,,29,False,False,False,False
null_shift,0.0,,30,False,False,False,False
null_shift,0.0,,31,False,False,False,False
null_shift,0.0,,32,False,False,False,False
null_shift,0.0,,33,False,False,False,False
null_shift,0.0,,34,False,False,False,False
null_shift,0.0,,35,False,False,False,False
null_shift,0.0,,36,False,False,False,False
null_shift,0.0,,37,False,False,False,False
null_shift,0.0,,38,False,False,False,False
null_shift,0.0,,39,False,False,False,False
null_shift,0.0,,40,False,False,False,False
null_shift,0.0,,41,False,False,False,False
null_shift,0.0,,42,True,True,True,True
null_shift,0.0,,43,True,False,False,False
null_shift,0.0,,44,False,False,False,False
null_shift,0.0,,45,False,False,False,False
null_shift,0.0,,46,False,False,False,False
null_shift,0.0,,47,False,False,False,False
null_shift,0.0,,48,False,False,False,False
null_shift,0.0,,49,False,False,False,False
null_shift,0.0,,50,False,False,False,False
